id_b,id_q,yes,no,does not matter
1,1,0.05,0.9,0.05
2,1,0.9,0.05,0.05
3,1,0.05,0.9,0.05
4,1,0.05,0.9,0.05
5,1,0.05,0.9,0.05
6,1,0.05,0.9,0.05
7,1,0.05,0.9,0.05
8,1,0.05,0.9,0.05
9,1,0.05,0.9,0.05
10,1,0.05,0.9,0.05
11,1,0.05,0.9,0.05
12,1,0.05,0.9,0.05
13,1,0.05,0.9,0.05
14,1,0.05,0.9,0.05
15,1,0.05,0.9,0.05
1,2,0.05,0.9,0.05
2,2,0.05,0.9,0.05
3,2,0.05,0.9,0.05
4,2,0.05,0.9,0.05
5,2,0.05,0.9,0.05
6,2,0.05,0.9,0.05
7,2,0.05,0.9,0.05
8,2,0.05,0.9,0.05
9,2,0.05,0.9,0.05
10,2,0.05,0.9,0.05
11,2,0.05,0.9,0.05
12,2,0.05,0.9,0.05
13,2,0.05,0.9,0.05
14,2,0.05,0.9,0.05
15,2,0.05,0.9,0.05
1,3,0.05,0.9,0.05
2,3,0.05,0.9,0.05
3,3,0.05,0.9,0.05
4,3,0.05,0.9,0.05
5,3,0.05,0.9,0.05
6,3,0.05,0.9,0.05
7,3,0.05,0.9,0.05
8,3,0.05,0.9,0.05
9,3,0.05,0.9,0.05
10,3,0.9,0.05,0.05
11,3,0.05,0.9,0.05
12,3,0.05,0.9,0.05
13,3,0.05,0.9,0.05
14,3,0.05,0.9,0.05
15,3,0.05,0.9,0.05
1,4,0.9,0.05,0.05
2,4,0.9,0.05,0.05
3,4,0.9,0.05,0.05
4,4,0.9,0.05,0.05
5,4,0.05,0.9,0.05
6,4,0.05,0.9,0.05
7,4,0.9,0.05,0.05
8,4,0.9,0.05,0.05
9,4,0.9,0.05,0.05
10,4,0.9,0.05,0.05
11,4,0.05,0.9,0.05
12,4,0.05,0.9,0.05
13,4,0.05,0.9,0.05
14,4,0.05,0.9,0.05
15,4,0.05,0.9,0.05
1,5,0.05,0.9,0.05
2,5,0.9,0.05,0.05
3,5,0.05,0.9,0.05
4,5,0.9,0.05,0.05
5,5,0.9,0.05,0.05
6,5,0.05,0.9,0.05
7,5,0.9,0.05,0.05
8,5,0.05,0.9,0.05
9,5,0.9,0.05,0.05
10,5,0.05,0.9,0.05
11,5,0.05,0.9,0.05
12,5,0.05,0.9,0.05
13,5,0.05,0.9,0.05
14,5,0.9,0.05,0.05
15,5,0.9,0.05,0.05
1,6,0.05,0.9,0.05
2,6,0.05,0.9,0.05
3,6,0.05,0.9,0.05
4,6,0.05,0.9,0.05
5,6,0.05,0.9,0.05
6,6,0.05,0.9,0.05
7,6,0.05,0.9,0.05
8,6,0.05,0.9,0.05
9,6,0.05,0.9,0.05
10,6,0.05,0.9,0.05
11,6,0.9,0.05,0.05
12,6,0.9,0.05,0.05
13,6,0.9,0.05,0.05
14,6,0.05,0.9,0.05
15,6,0.05,0.9,0.05
1,7,0.9,0.05,0.05
2,7,0.9,0.05,0.05
3,7,0.9,0.05,0.05
4,7,0.9,0.05,0.05
5,7,0.05,0.9,0.05
6,7,0.05,0.9,0.05
7,7,0.9,0.05,0.05
8,7,0.05,0.9,0.05
9,7,0.05,0.9,0.05
10,7,0.9,0.05,0.05
11,7,0.9,0.05,0.05
12,7,0.9,0.05,0.05
13,7,0.05,0.9,0.05
14,7,0.9,0.05,0.05
15,7,0.05,0.9,0.05
1,8,0.05,0.9,0.05
2,8,0.05,0.9,0.05
3,8,0.05,0.9,0.05
4,8,0.05,0.9,0.05
5,8,0.9,0.05,0.05
6,8,0.9,0.05,0.05
7,8,0.05,0.9,0.05
8,8,0.05,0.9,0.05
9,8,0.05,0.9,0.05
10,8,0.05,0.9,0.05
11,8,0.9,0.05,0.05
12,8,0.9,0.05,0.05
13,8,0.9,0.05,0.05
14,8,0.9,0.05,0.05
15,8,0.9,0.05,0.05
1,9,0.05,0.9,0.05
2,9,0.9,0.05,0.05
3,9,0.9,0.05,0.05
4,9,0.9,0.05,0.05
5,9,0.9,0.05,0.05
6,9,0.9,0.05,0.05
7,9,0.9,0.05,0.05
8,9,0.9,0.05,0.05
9,9,0.9,0.05,0.05
10,9,0.05,0.9,0.05
11,9,0.9,0.05,0.05
12,9,0.9,0.05,0.05
13,9,0.9,0.05,0.05
14,9,0.9,0.05,0.05
15,9,0.9,0.05,0.05
1,10,0.05,0.9,0.05
2,10,0.9,0.05,0.05
3,10,0.05,0.9,0.05
4,10,0.05,0.9,0.05
5,10,0.05,0.9,0.05
6,10,0.9,0.05,0.05
7,10,0.9,0.05,0.05
8,10,0.05,0.9,0.05
9,10,0.05,0.9,0.05
10,10,0.9,0.05,0.05
11,10,0.05,0.9,0.05
12,10,0.9,0.05,0.05
13,10,0.05,0.9,0.05
14,10,0.9,0.05,0.05
15,10,0.9,0.05,0.05
1,11,0.9,0.05,0.05
2,11,0.05,0.9,0.05
3,11,0.05,0.9,0.05
4,11,0.05,0.9,0.05
5,11,0.05,0.9,0.05
6,11,0.05,0.9,0.05
7,11,0.05,0.9,0.05
8,11,0.05,0.9,0.05
9,11,0.05,0.9,0.05
10,11,0.05,0.9,0.05
11,11,0.05,0.9,0.05
12,11,0.05,0.9,0.05
13,11,0.05,0.9,0.05
14,11,0.05,0.9,0.05
15,11,0.05,0.9,0.05
1,12,0.05,0.9,0.05
2,12,0.9,0.05,0.05
3,12,0.05,0.9,0.05
4,12,0.05,0.9,0.05
5,12,0.05,0.9,0.05
6,12,0.05,0.9,0.05
7,12,0.05,0.9,0.05
8,12,0.05,0.9,0.05
9,12,0.05,0.9,0.05
10,12,0.05,0.9,0.05
11,12,0.05,0.9,0.05
12,12,0.05,0.9,0.05
13,12,0.05,0.9,0.05
14,12,0.05,0.9,0.05
15,12,0.05,0.9,0.05
1,13,0.05,0.9,0.05
2,13,0.05,0.9,0.05
3,13,0.9,0.05,0.05
4,13,0.05,0.9,0.05
5,13,0.05,0.9,0.05
6,13,0.05,0.9,0.05
7,13,0.05,0.9,0.05
8,13,0.05,0.9,0.05
9,13,0.05,0.9,0.05
10,13,0.05,0.9,0.05
11,13,0.05,0.9,0.05
12,13,0.05,0.9,0.05
13,13,0.05,0.9,0.05
14,13,0.05,0.9,0.05
15,13,0.05,0.9,0.05
1,14,0.05,0.9,0.05
2,14,0.05,0.9,0.05
3,14,0.05,0.9,0.05
4,14,0.9,0.05,0.05
5,14,0.05,0.9,0.05
6,14,0.05,0.9,0.05
7,14,0.05,0.9,0.05
8,14,0.05,0.9,0.05
9,14,0.05,0.9,0.05
10,14,0.05,0.9,0.05
11,14,0.05,0.9,0.05
12,14,0.05,0.9,0.05
13,14,0.05,0.9,0.05
14,14,0.05,0.9,0.05
15,14,0.05,0.9,0.05
1,15,0.05,0.9,0.05
2,15,0.05,0.9,0.05
3,15,0.05,0.9,0.05
4,15,0.05,0.9,0.05
5,15,0.9,0.05,0.05
6,15,0.05,0.9,0.05
7,15,0.05,0.9,0.05
8,15,0.05,0.9,0.05
9,15,0.05,0.9,0.05
10,15,0.05,0.9,0.05
11,15,0.05,0.9,0.05
12,15,0.05,0.9,0.05
13,15,0.05,0.9,0.05
14,15,0.05,0.9,0.05
15,15,0.05,0.9,0.05
1,16,0.05,0.9,0.05
2,16,0.05,0.9,0.05
3,16,0.05,0.9,0.05
4,16,0.05,0.9,0.05
5,16,0.05,0.9,0.05
6,16,0.9,0.05,0.05
7,16,0.05,0.9,0.05
8,16,0.05,0.9,0.05
9,16,0.05,0.9,0.05
10,16,0.05,0.9,0.05
11,16,0.05,0.9,0.05
12,16,0.05,0.9,0.05
13,16,0.05,0.9,0.05
14,16,0.05,0.9,0.05
15,16,0.05,0.9,0.05
1,17,0.05,0.9,0.05
2,17,0.05,0.9,0.05
3,17,0.05,0.9,0.05
4,17,0.05,0.9,0.05
5,17,0.05,0.9,0.05
6,17,0.05,0.9,0.05
7,17,0.9,0.05,0.05
8,17,0.05,0.9,0.05
9,17,0.05,0.9,0.05
10,17,0.05,0.9,0.05
11,17,0.05,0.9,0.05
12,17,0.05,0.9,0.05
13,17,0.05,0.9,0.05
14,17,0.05,0.9,0.05
15,17,0.05,0.9,0.05
1,18,0.05,0.9,0.05
2,18,0.05,0.9,0.05
3,18,0.05,0.9,0.05
4,18,0.05,0.9,0.05
5,18,0.05,0.9,0.05
6,18,0.05,0.9,0.05
7,18,0.05,0.9,0.05
8,18,0.9,0.05,0.05
9,18,0.05,0.9,0.05
10,18,0.05,0.9,0.05
11,18,0.05,0.9,0.05
12,18,0.05,0.9,0.05
13,18,0.05,0.9,0.05
14,18,0.05,0.9,0.05
15,18,0.05,0.9,0.05
1,19,0.05,0.9,0.05
2,19,0.05,0.9,0.05
3,19,0.05,0.9,0.05
4,19,0.05,0.9,0.05
5,19,0.05,0.9,0.05
6,19,0.05,0.9,0.05
7,19,0.05,0.9,0.05
8,19,0.05,0.9,0.05
9,19,0.9,0.05,0.05
10,19,0.05,0.9,0.05
11,19,0.05,0.9,0.05
12,19,0.05,0.9,0.05
13,19,0.05,0.9,0.05
14,19,0.05,0.9,0.05
15,19,0.05,0.9,0.05
1,20,0.05,0.9,0.05
2,20,0.05,0.9,0.05
3,20,0.05,0.9,0.05
4,20,0.05,0.9,0.05
5,20,0.05,0.9,0.05
6,20,0.05,0.9,0.05
7,20,0.05,0.9,0.05
8,20,0.05,0.9,0.05
9,20,0.05,0.9,0.05
10,20,0.9,0.05,0.05
11,20,0.05,0.9,0.05
12,20,0.05,0.9,0.05
13,20,0.05,0.9,0.05
14,20,0.05,0.9,0.05
15,20,0.05,0.9,0.05
1,21,0.05,0.9,0.05
2,21,0.05,0.9,0.05
3,21,0.05,0.9,0.05
4,21,0.05,0.9,0.05
5,21,0.05,0.9,0.05
6,21,0.05,0.9,0.05
7,21,0.05,0.9,0.05
8,21,0.05,0.9,0.05
9,21,0.05,0.9,0.05
10,21,0.05,0.9,0.05
11,21,0.9,0.05,0.05
12,21,0.05,0.9,0.05
13,21,0.05,0.9,0.05
14,21,0.05,0.9,0.05
15,21,0.05,0.9,0.05
1,22,0.05,0.9,0.05
2,22,0.05,0.9,0.05
3,22,0.05,0.9,0.05
4,22,0.05,0.9,0.05
5,22,0.05,0.9,0.05
6,22,0.05,0.9,0.05
7,22,0.05,0.9,0.05
8,22,0.05,0.9,0.05
9,22,0.05,0.9,0.05
10,22,0.05,0.9,0.05
11,22,0.05,0.9,0.05
12,22,0.9,0.05,0.05
13,22,0.05,0.9,0.05
14,22,0.05,0.9,0.05
15,22,0.05,0.9,0.05
1,23,0.05,0.9,0.05
2,23,0.05,0.9,0.05
3,23,0.05,0.9,0.05
4,23,0.05,0.9,0.05
5,23,0.05,0.9,0.05
6,23,0.05,0.9,0.05
7,23,0.05,0.9,0.05
8,23,0.05,0.9,0.05
9,23,0.05,0.9,0.05
10,23,0.05,0.9,0.05
11,23,0.05,0.9,0.05
12,23,0.05,0.9,0.05
13,23,0.9,0.05,0.05
14,23,0.05,0.9,0.05
15,23,0.05,0.9,0.05
1,24,0.05,0.9,0.05
2,24,0.05,0.9,0.05
3,24,0.05,0.9,0.05
4,24,0.05,0.9,0.05
5,24,0.05,0.9,0.05
6,24,0.05,0.9,0.05
7,24,0.05,0.9,0.05
8,24,0.05,0.9,0.05
9,24,0.05,0.9,0.05
10,24,0.05,0.9,0.05
11,24,0.05,0.9,0.05
12,24,0.05,0.9,0.05
13,24,0.05,0.9,0.05
14,24,0.9,0.05,0.05
15,24,0.05,0.9,0.05
1,25,0.05,0.9,0.05
2,25,0.05,0.9,0.05
3,25,0.05,0.9,0.05
4,25,0.05,0.9,0.05
5,25,0.05,0.9,0.05
6,25,0.05,0.9,0.05
7,25,0.05,0.9,0.05
8,25,0.05,0.9,0.05
9,25,0.05,0.9,0.05
10,25,0.05,0.9,0.05
11,25,0.05,0.9,0.05
12,25,0.05,0.9,0.05
13,25,0.05,0.9,0.05
14,25,0.05,0.9,0.05
15,25,0.9,0.05,0.05
