id_q,question
1,Головний герой книги жіночої статі?
2,Головний герой книги існував насправді?
3,В книзі зображені реальні події?
4,Події відбуваються в СНД(СРСР)?
5,У головного героя є надздібності?
6,В книзі зображено майбутнє?
7,Події відбуваються в альтернативному всесвіті?
8,В книзі розмовляють англійською?
9,Жанр книги - фантастика?
10,Чи екранізували цю книгу?
11,Чи використовував головний герой книги сокиру?
12,Чи є в книзі розмовляюча домашня тварина?
13,Головний герой книги сталкер?
14,Розповідь йдеться про наукового співробітника?
15,Головний герой книги провів декілька років у в’язниці?
16,Чи є в книзі дракони?
17,Чи є в книзі вампіри та перевертні?
18,Чи описуються в книзі спеціальні машини для моментального переміщення в просторі?
19,Головний герой - прикордонник?
20,В книзі виділяється важлива роль описанню військових баталій?
21,Чи заборонені книги в цій історії?
22,В книзі йдеться про роботів?
23,Головний герой книги намагається допомогтися перемир’я між двома ворогуючими угрупуваннями?
24,"В книзі йдеться про чародіїв, які користуються магічними паличками?"
25,Чи є в книзі ельфи та гноми?